Year;Patent families
1980;94075
1981;93513
1982;95138
1983;107144
1984;109533
1985;111138
1986;111572
1987;115981
1988;116406
1989;111431
1990;104775
1991;98784
1992;96956
1993;96597
1994;96789
1995;98799
1996;103600
1997;110880
1998;119669
1999;124897
2000;131512
2001;130139
2002;131938
2003;134795
2004;130007
2005;129912
2006;133085
2007;135320
2008;135763
2009;131397
2010;135213
2011;136182
2012;136427
2013;137180
2014;133409
2015;135893
2016;136331
2017;136545
2018;135957
2019;135903
2020;129901
2021;128053
2022;79106
