Year;Patent families
1980;386747
1981;396166
1982;415946
1983;446450
1984;479909
1985;507135
1986;524988
1987;563088
1988;567823
1989;576387
1990;587747
1991;563993
1992;558105
1993;551724
1994;552261
1995;601873
1996;623461
1997;649206
1998;657411
1999;682490
2000;760194
2001;764649
2002;767230
2003;792325
2004;820649
2005;856745
2006;871978
2007;890398
2008;916497
2009;901898
2010;966553
2011;1067105
2012;1200442
2013;1344666
2014;1409590
2015;1560921
2016;1763821
2017;1970802
2018;2103116
2019;1953482
2020;2124283
2021;2113622
2022;1840901
